Midwest
1,Virginia,6.8,9.8%
16,Hampton,0.3,0.0%
8,Texas Tech,3.9,0.0%
9,Butler,11.8,0.3%
5,Purdue,17.9,2.7%
12,Arkansas-Little Rock,3.5,0.0%
4,Iowa State,10.1,1.0%
13,Iona,3.2,0.0%
6,Seton Hall,6.1,0.2%
11,Gonzaga,18.8,0.5%
3,Utah,8.1,0.8%
14,Fresno State,2.8,0.0%
7,Dayton,7.0,0.1%
10,Syracuse,8.8,0.1%
2,Michigan State,14.1,8.9%
15,Middle Tennessee,1.3,0.0%

West
1,Oregon,5.2,2.6%
16,Holy Cross / Southern,0.2,0.0%
8,Saint Joseph's,6.0,0.1%
9,Cincinnati,12.7,0.3%
5,Baylor,9.8,1.0%
12,Yale,9.9,0.0%
4,Duke,14.1,1.7%
13,North Carolina-Wilmington,3.8,0.0%
6,Texas,12.8,0.9%
11,Northern Iowa,6.7,0.0%
3,Texas A&M,10.8,2.4%
14,Green Bay,2.7,0.0%
7,Oregon State,2.5,0.0%
10,Virginia Commonwealth,13.1,0.2%
2,Oklahoma,13.2,6.8%
15,Cal State Bakersfield,1.2,0.0%

East
1,North Carolina,8.6,15.0%
16,Florida Gulf Coast / FD,0.2,0.0%
8,Southern California,3.7,0.0%
9,Providence,7.7,0.1%
5,Indiana,11.7,1.1%
12,Chattanooga,2.0,0.0%
4,Kentucky,16.9,4.4%
13,Stony Brook,1.5,0.0%
6,Notre Dame,9.5,0.3%
11,Tulsa / Michigan,3.1,0.0%
3,West Virginia,13.6,3.4%
14,Stephen F. Austin,5.1,0.0%
7,Wisconsin,11.8,0.4%
10,Pittsburgh,8.4,0.1%
2,Xavier,7.5,1.8%
15,Weber State,1.2,0.0%

South
1,Kansas,9.3,19.1%
16,Austin Peay,0.2,0.0%
8,Colorado,4.1,0.0%
9,Connecticut,10.3,0.3%
5,Maryland,12.7,1.3%
12,South Dakota State,4.3,0.0%
4,California,9.7,0.7%
13,Hawaii,2.9,0.0%
6,Arizona,12.8,1.8%
11,Wichita State / Vanderbilt,10.7,0.7%
3,Miami (FL),7.2,1.0%
14,Buffalo,2.7,0.0%
7,Iowa,11.3,0.6%
10,Temple,4.0,0.0%
2,Villanova,11.7,6.4%
15,North Carolina-Asheville,0.8,0.0%
