Midwest
1,Kansas,90.86
16,Pennsylvania,75.45
8,Seton Hall,85.03
9,NC State,81.76
5,Clemson,84.15
12,New Mexico State,79.8
4,Auburn,84.07
13,College of Charleston,76.45
6,Texas Christian,84.85
11,Arizona St / Syracuse,81.85
3,Michigan State,91.67
14,Bucknell,78.25
7,Rhode Island,83.07
10,Oklahoma,82.12
2,Duke,92.59
15,Iona,74.81

West
1,Xavier,89.02
16,NC Central / Texas S,67.93
8,Missouri,80.85
9,Florida State,83.62
5,Ohio State,85.61
12,South Dakota State,78.07
4,Gonzaga,89.54
13,NC Greensboro,78.03
6,Houston,86.04
11,San Diego State,81.73
3,Michigan,88.53
14,Montana,76.79
7,Texas A&M,83.55
10,Providence,81.28
2,North Carolina,90.62
15,Lipscomb,72.45

East
1,Villanova,94.94
16,Radford/ LIU,70.87
8,Virginia Tech,83.44
9,Alabama,82.21
5,West Virginia,88.6
12,Murray State,78.93
4,Wichita State,87.97
13,Marshall,75.58
6,Florida,86.45
11,UCLA / St. Bon,83.24
3,Texas Tech,87.3
14,Stephen F. Austin,74.78
7,Arkansas,83.29
10,Butler,84.65
2,Purdue,91.09
15,Cal State Fullerton,71.88

South
1,Virginia,94.29
16,Maryland-Bal. County,71.36
8,Creighton,83.41
9,Kansas State,81.5
5,Kentucky,88.06
12,Davidson,81.78
4,Arizona,87.86
13,Buffalo,79.07
6,Miami (FL),83.95
11.Loyola (IL),81.28
3,Tennessee,87.19
14,Wright State,74.3
7,Nevada,81.83
10,Texas,82.91
2,Cincinnati,91.09
15,Georgia State,75.89
